# Summer Series: North Sails May Regatta - R6 - J/70 Class - 19 boats - https://scm.royal-southern.co.uk/racing-results/may-regatta-25
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,1.0,GBR1169,Jeepster,J/70,Graham Clapp,,,,,,
2,2.0,GBR1452,Calypso,J/70,Alastair Hall,,,,,,
3,3.0,GBR1591,Dads 'N' Lads,J/70,Hector Simpson,,,,,,
4,4.0,GBR937,Powder Monkey,J/70,Ian Poynton,,,,,,
5,5.0,GBR1384,Cosmic,J/70,Patrick Liardet,,,,,,
6,6.0,GBR1247,Jelvis,J/70,Martin Dent,,,,,,
7,7.0,GBR974,EV Experts,J/70,Tim Collins,,,,,,
8,8.0,GBR742,Royal Thames 1,J/70,Oliver Dix,,,,,,
9,9.0,GBR1248,DSP,J/70,Douglas Struth,,,,,,
10,10.0,GBR1206,Offbeat,J/70,David McLeman,,,,,,
11,11.0,GBR743,Royal Thames 2,J/70,Carina Rickards,,,,,,
12,12.0,GBR1327,Wendy Deluxe,J/70,Andrew Wishart,,,,,,
13,13.0,GBR1205,Joskin,J/70,Henry Edwards,,,,,,
14,14.0,GBR744,Royal Thames 3,J/70,Jemima Lawson,,,,,,
15,15.0,GBR1203,Sardonyx,J/70,Alex Hughes,,,,,,
16,16.0,GBR972,Yeti,J/70,Claudia Manser,,,,,,
17,17.0,GBR881,XV/Manta,J/70,Isabelle Hung,,,,,,
18,18.0,GBR828,Lightfoot,J/70,Morgan Reynolds,,,,,,
19,19.0,GBR290,Jenga8,J/70,Andrew Barraclough,,,,,,
