# 2019 IRC National Championships - IRC 2 - Entries: 22      Races Sailed: 8      Discard: 1 (None) - 22 boats - https://www.rorc.org/raceresults/2019/ircnats-twoos.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
,,GBR9868,Black Dog,J/122,Stuart Sawyer,,,,1.084,,
,,GBR8888N,Cobra,King 40,Michael Blair,,,,1.113,,
,,GBR4863R,Yes!,JPK 1180,Adam Gosling,,,,1.104,,
,,SWE3939,Vencom,Ker 39,Johan Arthur Gustavsson,,,,1.144,,
,,GBR7122X,Juno,J/122E,Christopher Daniel,,,,1.089,,
,,GBR3213L,Dusty P,First 40,Richard Patrick,,,,1.076,,
,,GBR236R,Rumbleflurg,Ker 39,Ian Schenkel,,,,1.116,,
,,GBR5940R,Nifty,King 40,Roger Bowden,,,,1.115,,
,,BEL4701,Moana,First 47.7,François Goubau,,,,1.109,,
,,NED6169,Elke,First 40,Frans & Carla Rodenburg,,,,1.090,,
,,GBR42N,La Réponse,First 40,Andrew McIrvine,,,,1.080,,
,,GBR4013R,Sailplane,First 40,Rob Bottomley,,,,1.081,,
,,GBR86R,Fargo,Swan 42,Robert Bicket,,,,1.159,,
,,GBR7938R,Al Fresco,Prima 38,Allan Meredith,,,,1.080,,
,,NED8882,Leeloo,Mat 1180,Harold Vermeulen,,,,1.189,,
,,GBR1180X,Gallivanter,MAT 1180,Tor McLaren,,,,1.191,,
,,IRL39000,Zero II,Mills 39,Cowes Race School,,,,1.111,,
,,GBR79R,Skermisher,Custom,Jonathan Blanshard & Garfield Smith,,,,1.090,,
,,GBR1010L,Xinska,X 40,Bernard Olesinski,,,,1.090,,
,,GBR9235R,Mad Max,Max Fun 35,Andy Williams,,,,1.080,,
,,GBR8405R,Olympia's Tigress,First 40,Susan Glenny,,,,1.078,,
,,GBR8191R,British Soldier,X-41,Army Sailing Association,,,,1.098,,
