# 2020 Summer Series - IRC Four - Summer Series - Race 3 (Sat 22 Aug 20 09:30:00) - 46 boats - https://www.rorc.org/raceresults/2020/summerseries-four03.html
Position,Points,SailNo,Boat,BoatType,Owner,SailedBy,FinishTime,Elapsed,Handicap,Corrected,Comments
1,1,GBR958R,Jangada,Jpk 10.10,Richard Palmer,,15:09:40,5:39:40,1.001,5:40:00,
2,2,GBR8956R,Mzungu,Sun Fast 3200,Tony White,,15:35:31,6:05:31,0.994,6:03:19,
3,3,GBR4350L,Felix,X 332,Christoph Friedrich,,16:25:04,6:55:04,0.967,6:41:22,
,47,GBR23806,Finola,Swan 36,Christopher Frost,Elin Haf Davies,,,0.901,,DNC-Did Not Come to Starting Area
,47,GBR4080T,Crakajax,X 95,Richard Hollis,Ursula Bagnall,,,0.902,,DNC-Did Not Come to Starting Area
,47,GBR4919R,Lofo,Fareast19r,Jonathan Hall,,,,0.904,,DNC-Did Not Come to Starting Area
,47,GBR5931R,My Dream,Thomas 31 Custom,Richard Thomas,,,,0.908,,DNC-Did Not Come to Starting Area
,47,GBR8788R,Theseus,Quarter Ton,Jim Prower,,,,0.909,,DNC-Did Not Come to Starting Area
,47,GBR953R,Belinda,Quarter Tonner,Tom Hill,Christopher Fay,,,0.910,,DNC-Did Not Come to Starting Area
,47,GBR6508T,Gr8 Banter,Mustang Mk2,Ian Handley,,,,0.911,,DNC-Did Not Come to Starting Area
,47,GBR123,Xara,Swan Sr 38,Jonathan Rolls,,,,0.919,,DNC-Did Not Come to Starting Area
,47,GBR363R,Whooper,One Off,Giovanni Belgrano,,,,0.922,,DNC-Did Not Come to Starting Area
,47,GBR5089L,Mischief Of Hamble,Oceanis 37,Kathryn Cole,,,,0.924,,DNC-Did Not Come to Starting Area
,47,GBR1396T,Virago,Mg 335,Jeffrey Knapman,,,,0.925,,DNC-Did Not Come to Starting Area
,47,GBR8285T,Penelope,Dehler 34,Peter McConnell,,,,0.926,,DNC-Did Not Come to Starting Area
,47,GBR1498T,Lady Penrose,Sigma 362,Claire Dresser,,,,0.933,,DNC-Did Not Come to Starting Area
,47,GBR3711,Juniper,S & S 38 Custom,Elizabeth Ayling,,,,0.936,,DNC-Did Not Come to Starting Area
,47,GBR4365T,MS Amlin Enigma,Mg 346,Ian Braham,Ian Braham & Pete Eyre,,,0.948,,DNC-Did Not Come to Starting Area
,47,GBR8185,Quokka 9,Half Tonner,Peter Rutter,,,,0.948,,DNC-Did Not Come to Starting Area
,47,GBR716,Justify,J/80,Ross Bowdler,,,,0.954,,DNC-Did Not Come to Starting Area
,47,GBR5189T,J'Ronimo,J 92 1.79,Guy Raynes,,,,0.956,,DNC-Did Not Come to Starting Area
,47,GBR1426,Dark & Stormy 2,J/80,Keith Willis,,,,0.957,,DNC-Did Not Come to Starting Area
,47,GBR2947L,Jackdaw,J/92,Robert Salter,David Ward,,,0.958,,DNC-Did Not Come to Starting Area
,47,GBR8440L,True Blue,Finngulf 33,Jurriaan de Munck,,,,0.959,,DNC-Did Not Come to Starting Area
,47,GBR1338T,Jungle,Laurent Giles 33 Custom,Geoff Stock,,,,0.960,,DNC-Did Not Come to Starting Area
,47,GBR9202R,Nightjar,J/92,Jack Banks,,,,0.962,,DNC-Did Not Come to Starting Area
,47,GBR9633R,Ruthless,Dehler 33 Cr,Martin Pearson,Samuel Pearson,,,0.963,,DNC-Did Not Come to Starting Area
,47,GER4228,Reefer X,X 99 (big Spi),Aaron Goodman-simpson,,,,0.965,,DNC-Did Not Come to Starting Area
,47,GBR2631R,Precision,Bavaria 39 Cruiser,Elizabeth Fitzsimmons,,,,0.968,,DNC-Did Not Come to Starting Area
,47,GBR6621T,La Nef IV,X-332,John Noe,,,,0.968,,DNC-Did Not Come to Starting Area
,47,GBR9690R,Adelie,X-332,Robert Salter,,,,0.968,,DNC-Did Not Come to Starting Area
,47,GBR3965R,Jumblesail 2,J/97,Rachel & Robert Hunt,Rachel Woods,,,0.970,,DNC-Did Not Come to Starting Area
,47,GBR9203R,Wee Bear,Projection 920,Nick Lee,,,,0.973,,DNC-Did Not Come to Starting Area
,47,GBR8274,Machismo II,Sigma 38,Tim Levett,,,,0.977,,DNC-Did Not Come to Starting Area
,47,GBR7732T,Mardy Gras,X-332,Frederick Mundle,,,,0.980,,DNC-Did Not Come to Starting Area
,47,GBR6777R,Bespoke,Humphreys 30 Mod (keel),Neal Brewer,,,,0.987,,DNC-Did Not Come to Starting Area
,47,GBR7387T,Magus Tao,Dehler 41 CR,Robert Sharp,,,,0.997,,DNC-Did Not Come to Starting Area
,47,GBR3145L,True Colours,Grand Soleil 43,Julian Trumper,,,,0.999,,DNC-Did Not Come to Starting Area
,47,GBR9405R,Juliette,J/105,Jerry Freeman,,,,0.999,,DNC-Did Not Come to Starting Area
,47,GBR4796L,Joy,Jpk 10.10,Peter Butters,,,,1.000,,DNC-Did Not Come to Starting Area
,47,GBR529R,Just So,J/109,David McGough,William McGough,,,1.001,,DNC-Did Not Come to Starting Area
,47,GBR4867L,Purple Mist,Sun Fast 3200,Katherine Cope,,,,1.002,,DNC-Did Not Come to Starting Area
,47,GBR1129L,Jelly Baby,J/105,William Newton,,,,1.003,,DNC-Did Not Come to Starting Area
,47,GBR7805R,Jin Tonic,J/105,Stephen Roberts,,,,1.003,,DNC-Did Not Come to Starting Area
,47,GBR9588R,Jacana,J/105,Mark Stevens,,,,1.003,,DNC-Did Not Come to Starting Area
,47,GBR9779T,Jago,J/109,Mike Yates,,,,1.005,,DNC-Did Not Come to Starting Area
